[18:49:44]: {db.cpp, 279}: dbinit ok 
[18:49:56]: {service.cpp, 490}: load_config() ok 
[19:33:16]: {db.cpp, 279}: dbinit ok 
[19:33:28]: {service.cpp, 490}: load_config() ok 
[19:38:18]: {db.cpp, 279}: dbinit ok 
[19:38:29]: {service.cpp, 490}: load_config() ok 
[19:39:56]: {db.cpp, 279}: dbinit ok 
[19:40:07]: {service.cpp, 490}: load_config() ok 
[19:43:27]: {db.cpp, 279}: dbinit ok 
[19:43:39]: {service.cpp, 490}: load_config() ok 
[19:45:28]: {db.cpp, 279}: dbinit ok 
[19:45:40]: {service.cpp, 490}: load_config() ok 
[19:49:14]: {db.cpp, 279}: dbinit ok 
[19:49:25]: {service.cpp, 490}: load_config() ok 
[19:51:59]: {db.cpp, 279}: dbinit ok 
[19:52:11]: {service.cpp, 490}: load_config() ok 
[11:14:17]: {db.cpp, 279}: dbinit ok 
[11:14:29]: {service.cpp, 490}: load_config() ok 
[11:26:34]: {db.cpp, 279}: dbinit ok 
[11:27:51]: {service.cpp, 490}: load_config() ok 
[11:35:05]: {db.cpp, 279}: dbinit ok 
[11:35:20]: {service.cpp, 490}: load_config() ok 
[11:38:07]: {db.cpp, 279}: dbinit ok 
[11:38:19]: {service.cpp, 490}: load_config() ok 
[11:38:35]: {db.cpp, 279}: dbinit ok 
[11:39:49]: {db.cpp, 279}: dbinit ok 
[11:40:00]: {service.cpp, 490}: load_config() ok 
[17:30:59]: {db.cpp, 279}: dbinit ok 
[17:31:11]: {service.cpp, 490}: load_config() ok 
